Date/Time, PSNR, SSIM
2025-02-24 23:26:34, 25.9221, 0.8558
2025-02-24 23:45:25, 25.925, 0.8537
2025-02-24 23:53:23, 26.781, 0.8787
2025-02-25 00:01:20, 27.2264, 0.8906
2025-02-25 00:09:17, 27.4342, 0.8961
2025-02-25 00:17:14, 27.5319, 0.8996
2025-02-25 00:25:11, 27.5389, 0.9017
2025-02-25 00:33:08, 27.6357, 0.9033
2025-02-25 00:41:03, 27.7238, 0.9053
2025-02-25 00:49:01, 27.7612, 0.9066
2025-02-25 00:56:58, 27.7862, 0.9073
2025-02-25 01:04:55, 27.814, 0.9081
2025-02-25 01:12:53, 27.8434, 0.9089
2025-02-25 01:20:50, 27.851, 0.9095
2025-02-25 01:28:47, 27.8877, 0.9101
2025-02-25 01:36:46, 26.494, 0.9096
2025-02-25 01:44:44, 27.9106, 0.9113
2025-02-25 01:52:45, 27.9163, 0.9115
2025-02-25 02:00:59, 27.96, 0.9119
2025-02-25 02:09:02, 27.986, 0.9122
2025-02-25 02:17:02, 27.9968, 0.9126
2025-02-25 02:24:58, 28.0236, 0.9128
2025-02-25 02:34:04, 28.0284, 0.9131
2025-02-25 02:42:18, 28.0162, 0.9132
2025-02-25 02:50:19, 28.0766, 0.9137
2025-02-25 02:58:20, 28.0583, 0.9143
2025-02-25 03:06:19, 28.0966, 0.915
2025-02-25 03:14:20, 28.1283, 0.9153
2025-02-25 03:22:22, 28.1407, 0.9158
2025-02-25 03:30:23, 28.156, 0.916
2025-02-25 03:38:25, 28.0193, 0.9163
2025-02-25 03:46:23, 28.1823, 0.917
2025-02-25 03:54:25, 28.2041, 0.9174
2025-02-25 04:02:25, 28.2182, 0.9181
2025-02-25 04:10:23, 28.1747, 0.918
2025-02-25 04:18:23, 28.1939, 0.9178
2025-02-25 04:26:23, 28.2781, 0.918
2025-02-25 04:34:24, 28.2432, 0.918
2025-02-25 04:42:23, 28.3118, 0.9181
2025-02-25 04:50:23, 28.3229, 0.9184
2025-02-25 04:58:26, 28.3453, 0.9187
2025-02-25 05:06:56, 28.2899, 0.9184
2025-02-25 05:14:57, 28.3685, 0.9188
2025-02-25 05:22:57, 28.1324, 0.9189
2025-02-25 05:30:57, 28.3693, 0.9191
2025-02-25 05:38:55, 28.4038, 0.9193
2025-02-25 05:46:54, 28.1734, 0.9192
2025-02-25 05:54:51, 28.411, 0.9198
2025-02-26 12:28:09, 28.5038, 0.9223
2025-02-26 12:48:17, 28.5234, 0.9233
2025-02-26 13:08:10, 28.5369, 0.9236
2025-02-26 13:28:01, 28.5471, 0.9235
2025-02-26 13:47:57, 28.5716, 0.9242
2025-02-26 14:07:53, 28.5851, 0.9241
