Date/Time, PSNR, SSIM
2025-02-26 11:30:12, 22.816, 0.7432
2025-02-26 11:31:26, 22.713, 0.7281
2025-02-26 11:32:07, 23.0644, 0.7519
2025-02-26 11:32:48, 23.059, 0.7565
2025-02-26 11:33:30, 23.3137, 0.7606
2025-02-26 11:34:11, 23.0776, 0.7549
2025-02-26 11:34:52, 23.4488, 0.7667
2025-02-26 11:35:34, 23.5157, 0.7686
2025-02-26 11:37:17, 23.5563, 0.77
2025-02-26 11:37:58, 22.0457, 0.7609
2025-02-26 11:38:38, 23.4757, 0.7708
2025-02-26 11:39:19, 23.6204, 0.7715
2025-02-26 11:40:00, 23.5959, 0.7702
2025-02-26 11:40:41, 23.6614, 0.7729
2025-02-26 11:41:21, 23.6788, 0.7742
2025-02-26 11:42:03, 23.6451, 0.7745
2025-02-26 11:42:44, 23.6447, 0.7714
2025-02-26 11:43:24, 23.6974, 0.7767
2025-02-26 11:44:06, 23.731, 0.7758
2025-02-26 11:44:46, 23.266, 0.7584
2025-02-26 11:45:26, 23.7341, 0.7747
