Date/Time, PSNR, SSIM
2025-02-24 23:16:21, 7.1057, 0.0364
2025-02-24 23:16:23, 7.5746, 0.096
2025-02-24 23:16:26, 8.0949, 0.155
2025-02-24 23:16:28, 8.6853, 0.2083
2025-02-24 23:16:31, 9.364, 0.2606
2025-02-24 23:16:34, 10.1444, 0.3109
2025-02-24 23:16:36, 11.0436, 0.3571
2025-02-24 23:16:39, 12.0732, 0.3971
2025-02-24 23:16:41, 13.2233, 0.4297
2025-02-24 23:16:44, 14.4153, 0.4533
2025-02-24 23:16:46, 15.4325, 0.4686
2025-02-24 23:16:49, 15.8991, 0.4935
2025-02-24 23:16:52, 15.577, 0.5086
2025-02-24 23:16:54, 14.8057, 0.5157
2025-02-24 23:16:56, 14.1449, 0.5183
2025-02-24 23:16:59, 13.8219, 0.5191
2025-02-24 23:17:02, 13.8349, 0.5193
2025-02-24 23:17:04, 14.1127, 0.5191
2025-02-24 23:17:07, 14.5708, 0.5181
2025-02-24 23:17:09, 15.1104, 0.516
2025-02-24 23:17:12, 15.6249, 0.5122
2025-02-24 23:17:14, 16.0224, 0.5067
2025-02-24 23:17:17, 16.2521, 0.4998
2025-02-24 23:17:19, 16.318, 0.4931
2025-02-24 23:17:22, 16.2657, 0.4876
2025-02-24 23:17:25, 16.1546, 0.4847
2025-02-24 23:17:27, 16.0348, 0.4842
2025-02-24 23:17:30, 15.9408, 0.4842
2025-02-24 23:26:34, 25.9221, 0.8558
2025-02-24 23:45:25, 25.925, 0.8537
2025-02-24 23:53:23, 26.781, 0.8787
2025-02-25 00:01:20, 27.2264, 0.8906
2025-02-25 00:09:17, 27.4342, 0.8961
2025-02-25 00:17:14, 27.5319, 0.8996
2025-02-25 00:25:11, 27.5389, 0.9017
2025-02-25 00:33:08, 27.6357, 0.9033
2025-02-25 00:41:03, 27.7238, 0.9053
2025-02-25 00:49:01, 27.7612, 0.9066
2025-02-25 00:56:58, 27.7862, 0.9073
2025-02-25 01:04:55, 27.814, 0.9081
2025-02-25 01:12:53, 27.8434, 0.9089
2025-02-25 01:20:50, 27.851, 0.9095
2025-02-25 01:28:47, 27.8877, 0.9101
2025-02-25 01:36:46, 26.494, 0.9096
2025-02-25 01:44:44, 27.9106, 0.9113
2025-02-25 01:52:45, 27.9163, 0.9115
2025-02-25 02:00:59, 27.96, 0.9119
2025-02-25 02:09:02, 27.986, 0.9122
2025-02-25 02:17:02, 27.9968, 0.9126
2025-02-25 02:24:58, 28.0236, 0.9128
2025-02-25 02:34:04, 28.0284, 0.9131
2025-02-25 02:42:18, 28.0162, 0.9132
2025-02-25 02:50:19, 28.0766, 0.9137
2025-02-25 02:58:20, 28.0583, 0.9143
2025-02-25 03:06:19, 28.0966, 0.915
2025-02-25 03:14:20, 28.1283, 0.9153
2025-02-25 03:22:22, 28.1407, 0.9158
2025-02-25 03:30:23, 28.156, 0.916
2025-02-25 03:38:25, 28.0193, 0.9163
2025-02-25 03:46:23, 28.1823, 0.917
2025-02-25 03:54:25, 28.2041, 0.9174
2025-02-25 04:02:25, 28.2182, 0.9181
2025-02-25 04:10:23, 28.1747, 0.918
2025-02-25 04:18:23, 28.1939, 0.9178
2025-02-25 04:26:23, 28.2781, 0.918
2025-02-25 04:34:24, 28.2432, 0.918
2025-02-25 04:42:23, 28.3118, 0.9181
2025-02-25 04:50:23, 28.3229, 0.9184
2025-02-25 04:58:26, 28.3453, 0.9187
2025-02-25 05:06:56, 28.2899, 0.9184
2025-02-25 05:14:57, 28.3685, 0.9188
2025-02-25 05:22:57, 28.1324, 0.9189
2025-02-25 05:30:57, 28.3693, 0.9191
2025-02-25 05:38:55, 28.4038, 0.9193
2025-02-25 05:46:54, 28.1734, 0.9192
2025-02-25 05:54:51, 28.411, 0.9198
2025-02-25 06:02:50, 28.4016, 0.9195
2025-02-25 06:10:50, 28.3987, 0.9196
2025-02-25 06:18:49, 28.4353, 0.9198
2025-02-25 06:26:46, 28.4226, 0.9202
2025-02-25 06:35:38, 28.4483, 0.9208
2025-02-25 06:43:49, 28.3412, 0.9204
2025-02-25 06:51:47, 28.4259, 0.9214
2025-02-25 06:59:48, 28.4761, 0.921
2025-02-25 07:08:21, 28.487, 0.9212
2025-02-25 07:16:21, 28.4932, 0.9219
2025-02-25 07:24:20, 28.4758, 0.9226
2025-02-25 07:32:19, 28.5072, 0.9225
2025-02-25 07:40:19, 28.4157, 0.9223
2025-02-25 07:48:58, 28.5189, 0.9224
2025-02-25 07:57:00, 28.5218, 0.9225
2025-02-25 08:05:02, 28.5006, 0.9222
2025-02-25 08:13:01, 28.5055, 0.9224
2025-02-25 08:21:06, 28.5307, 0.9222
2025-02-25 08:29:05, 28.5478, 0.9225
2025-02-25 08:37:09, 28.3604, 0.9216
2025-02-25 08:45:10, 28.2444, 0.9225
2025-02-25 08:53:12, 28.5636, 0.9227
2025-02-25 09:01:14, 28.5651, 0.9224
2025-02-25 09:09:17, 28.5183, 0.9222
2025-02-25 09:17:18, 28.5731, 0.9225
2025-02-25 09:25:21, 28.564, 0.9226
2025-02-25 09:33:21, 28.5872, 0.9227
2025-02-25 09:41:25, 28.594, 0.9227
